Watchdog's Greatsword,"[{'name': 'Phy', 'amount': 142}, {'name': 'Mag', 'amount': 0}, {'name': 'Fire', 'amount': 0}, {'name': 'Ligt', 'amount': 0}, {'name': 'Holy', 'amount': 0}, {'name': 'Crit', 'amount': 100}]","[{'name': 'Phy', 'amount': 66}, {'name': 'Mag', 'amount': 49}, {'name': 'Fire', 'amount': 49}, {'name': 'Ligt', 'amount': 49}, {'name': 'Holy', 'amount': 49}, {'name': 'Boost', 'amount': 38}]","[{'name': 'Str', 'scaling': 'C'}, {'name': 'Dex', 'scaling': 'E'}]","[{'name': 'Str', 'amount': 30}, {'name': 'Dex', 'amount': 10}]",Colossal Sword,22.0
Greatsword,"[{'name': 'Phy', 'amount': 164}, {'name': 'Mag', 'amount': 0}, {'name': 'Fire', 'amount': 0}, {'name': 'Ligt', 'amount': 0}, {'name': 'Holy', 'amount': 0}, {'name': 'Crit', 'amount': 100}]","[{'name': 'Phy', 'amount': 67}, {'name': 'Mag', 'amount': 50}, {'name': 'Fire', 'amount': 50}, {'name': 'Ligt', 'amount': 50}, {'name': 'Holy', 'amount': 50}, {'name': 'Boost', 'amount': 38}]","[{'name': 'Str', 'scaling': 'C'}, {'name': 'Dex', 'scaling': 'E'}]","[{'name': 'Str', 'amount': 31}, {'name': 'Dex', 'amount': 12}]",Colossal Sword,23.0
Troll's Golden Sword,"[{'name': 'Phy', 'amount': 155}, {'name': 'Mag', 'amount': 0}, {'name': 'Fire', 'amount': 0}, {'name': 'Ligt', 'amount': 0}, {'name': 'Holy', 'amount': 0}, {'name': 'Crit', 'amount': 100}]","[{'name': 'Phy', 'amount': 61}, {'name': 'Mag', 'amount': 46}, {'name': 'Fire', 'amount': 46}, {'name': 'Ligt', 'amount': 46}, {'name': 'Holy', 'amount': 46}, {'name': 'Boost', 'amount': 40}]","[{'name': 'Str', 'scaling': 'D'}, {'name': 'Dex', 'scaling': 'D'}]","[{'name': 'Str', 'amount': 29}, {'name': 'Dex', 'amount': 10}]",Colossal Sword,19.0
Maliketh's Black Blade,"[{'name': 'Phy', 'amount': 127}, {'name': 'Mag', 'amount': 0}, {'name': 'Fire', 'amount': 0}, {'name': 'Ligt', 'amount': 0}, {'name': 'Holy', 'amount': 82}, {'name': 'Crit', 'amount': 100}]","[{'name': 'Phy', 'amount': 51}, {'name': 'Mag', 'amount': 36}, {'name': 'Fire', 'amount': 36}, {'name': 'Ligt', 'amount': 36}, {'name': 'Holy', 'amount': 49}, {'name': 'Boost', 'amount': 38}]","[{'name': 'Str', 'scaling': 'D'}, {'name': 'Dex', 'scaling': 'E'}, {'name': 'Fai', 'scaling': 'D'}]","[{'name': 'Str', 'amount': 34}, {'name': 'Dex', 'amount': 12}, {'name': 'Fai', 'amount': 20}]",Colossal Sword,22.0
Zweihander,"[{'name': 'Phy', 'amount': 141}, {'name': 'Mag', 'amount': 0}, {'name': 'Fire', 'amount': 0}, {'name': 'Ligt', 'amount': 0}, {'name': 'Holy', 'amount': 0}, {'name': 'Crit', 'amount': 100}]","[{'name': 'Phy', 'amount': 54}, {'name': 'Mag', 'amount': 40}, {'name': 'Fire', 'amount': 40}, {'name': 'Ligt', 'amount': 40}, {'name': 'Holy', 'amount': 40}, {'name': 'Boost', 'amount': 36}]","[{'name': 'Str', 'scaling': 'D'}, {'name': 'Dex', 'scaling': 'D'}]","[{'name': 'Str', 'amount': 19}, {'name': 'Dex', 'amount': 11}]",Colossal Sword,15.5
Royal Greatsword,"[{'name': 'Phy', 'amount': 0}, {'name': 'Mag', 'amount': 134}, {'name': 'Fire', 'amount': 0}, {'name': 'Ligt', 'amount': 0}, {'name': 'Holy', 'amount': 0}, {'name': 'Crit', 'amount': 0}]","[{'name': 'Phy', 'amount': 63}, {'name': 'Mag', 'amount': 47}, {'name': 'Fire', 'amount': 47}, {'name': 'Ligt', 'amount': 47}, {'name': 'Holy', 'amount': 47}, {'name': 'Boost', 'amount': 42}]","[{'name': 'Str', 'scaling': 'D'}, {'name': 'Dex', 'scaling': 'E'}, {'name': 'Int', 'scaling': 'D'}]","[{'name': 'Str', 'amount': 26}, {'name': 'Dex', 'amount': 18}, {'name': 'Int', 'amount': 22}]",Colossal Sword,20.0
Godslayer's Greatsword,"[{'name': 'Phy', 'amount': 119}, {'name': 'Mag', 'amount': 0}, {'name': 'Fire', 'amount': 77}, {'name': 'Ligt', 'amount': 0}, {'name': 'Holy', 'amount': 0}, {'name': 'Crit', 'amount': 100}]","[{'name': 'Phy', 'amount': 49}, {'name': 'Mag', 'amount': 38}, {'name': 'Fire', 'amount': 49}, {'name': 'Ligt', 'amount': 38}, {'name': 'Holy', 'amount': 38}, {'name': 'Boost', 'amount': 40}]","[{'name': 'Str', 'scaling': 'D'}, {'name': 'Dex', 'scaling': 'D'}, {'name': 'Fai', 'scaling': 'D'}]","[{'name': 'Str', 'amount': 20}, {'name': 'Dex', 'amount': 22}, {'name': 'Fai', 'amount': 20}]",Colossal Sword,17.5
Grafted Blade Greatsword,"[{'name': 'Phy', 'amount': 157}, {'name': 'Mag', 'amount': 0}, {'name': 'Fire', 'amount': 0}, {'name': 'Ligt', 'amount': 0}, {'name': 'Holy', 'amount': 0}, {'name': 'Crit', 'amount': 100}]","[{'name': 'Phy', 'amount': 64}, {'name': 'Mag', 'amount': 48}, {'name': 'Fire', 'amount': 48}, {'name': 'Ligt', 'amount': 48}, {'name': 'Holy', 'amount': 48}, {'name': 'Boost', 'amount': 44}]","[{'name': 'Str', 'scaling': 'C'}, {'name': 'Dex', 'scaling': 'E'}]","[{'name': 'Str', 'amount': 40}, {'name': 'Dex', 'amount': 14}]",Colossal Sword,21.0
Ruins Greatsword,"[{'name': 'Phy', 'amount': 124}, {'name': 'Mag', 'amount': 37}, {'name': 'Fire', 'amount': 0}, {'name': 'Ligt', 'amount': 0}, {'name': 'Holy', 'amount': 0}, {'name': 'Crit', 'amount': 100}]","[{'name': 'Phy', 'amount': 65}, {'name': 'Mag', 'amount': 56}, {'name': 'Fire', 'amount': 50}, {'name': 'Ligt', 'amount': 50}, {'name': 'Holy', 'amount': 50}, {'name': 'Boost', 'amount': 45}]","[{'name': 'Str', 'scaling': 'B'}, {'name': 'Int', 'scaling': 'D'}]","[{'name': 'Str', 'amount': 50}, {'name': 'Int', 'amount': 16}]",Colossal Sword,23.0
Starscourge Greatsword,"[{'name': 'Phy', 'amount': 129}, {'name': 'Mag', 'amount': 83}, {'name': 'Fire', 'amount': 0}, {'name': 'Ligt', 'amount': 0}, {'name': 'Holy', 'amount': 0}, {'name': 'Crit', 'amount': 100}]","[{'name': 'Phy', 'amount': 49}, {'name': 'Mag', 'amount': 47}, {'name': 'Fire', 'amount': 34}, {'name': 'Ligt', 'amount': 34}, {'name': 'Holy', 'amount': 34}, {'name': 'Boost', 'amount': 42}]","[{'name': 'Str', 'scaling': 'D'}, {'name': 'Dex', 'scaling': 'D'}, {'name': 'Int', 'scaling': 'E'}]","[{'name': 'Str', 'amount': 38}, {'name': 'Dex', 'amount': 12}, {'name': 'Int', 'amount': 15}]",Colossal Sword,20.0
Troll Knight's Sword,"[{'name': 'Phy', 'amount': 124}, {'name': 'Mag', 'amount': 80}, {'name': 'Fire', 'amount': 0}, {'name': 'Ligt', 'amount': 0}, {'name': 'Holy', 'amount': 0}, {'name': 'Crit', 'amount': 100}]","[{'name': 'Phy', 'amount': 55}, {'name': 'Mag', 'amount': 55}, {'name': 'Fire', 'amount': 43}, {'name': 'Ligt', 'amount': 43}, {'name': 'Holy', 'amount': 43}, {'name': 'Boost', 'amount': 40}]","[{'name': 'Str', 'scaling': 'D'}, {'name': 'Dex', 'scaling': 'D'}, {'name': 'Int', 'scaling': 'D'}]","[{'name': 'Str', 'amount': 20}, {'name': 'Dex', 'amount': 14}, {'name': 'Int', 'amount': 18}]",Colossal Sword,18.0
